[29-Mar-2014 14:32:32 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\login.php on line 23
[29-Mar-2014 15:32:43 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\login.php on line 23
[29-Mar-2014 15:33:50 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\sign.php on line 23
[29-Mar-2014 15:34:00 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\login.php on line 23
[29-Mar-2014 15:39:48 UTC] PHP Parse error:  syntax error, unexpected ']' in C:\Apache24\htdocs\proj1\index.php on line 4
[29-Mar-2014 15:40:02 UTC] PHP Parse error:  syntax error, unexpected ';' in C:\Apache24\htdocs\proj1\index.php on line 7
[29-Mar-2014 15:40:03 UTC] PHP Parse error:  syntax error, unexpected ';' in C:\Apache24\htdocs\proj1\index.php on line 7
[29-Mar-2014 15:40:04 UTC] PHP Parse error:  syntax error, unexpected ';' in C:\Apache24\htdocs\proj1\index.php on line 7
[29-Mar-2014 15:40:27 UTC] PHP Parse error:  syntax error, unexpected ';' in C:\Apache24\htdocs\proj1\index.php on line 7
[29-Mar-2014 15:40:27 UTC] PHP Parse error:  syntax error, unexpected ';' in C:\Apache24\htdocs\proj1\index.php on line 7
[29-Mar-2014 15:40:28 UTC] PHP Parse error:  syntax error, unexpected ';' in C:\Apache24\htdocs\proj1\index.php on line 7
[29-Mar-2014 15:40:28 UTC] PHP Parse error:  syntax error, unexpected ';' in C:\Apache24\htdocs\proj1\index.php on line 7
[29-Mar-2014 15:40:28 UTC] PHP Parse error:  syntax error, unexpected ';' in C:\Apache24\htdocs\proj1\index.php on line 7
[29-Mar-2014 15:40:28 UTC] PHP Parse error:  syntax error, unexpected ';' in C:\Apache24\htdocs\proj1\index.php on line 7
[29-Mar-2014 15:41:14 UTC] PHP Parse error:  syntax error, unexpected ';' in C:\Apache24\htdocs\proj1\index.php on line 6
[29-Mar-2014 15:41:15 UTC] PHP Parse error:  syntax error, unexpected ';' in C:\Apache24\htdocs\proj1\index.php on line 6
[29-Mar-2014 15:41:15 UTC] PHP Parse error:  syntax error, unexpected ';' in C:\Apache24\htdocs\proj1\index.php on line 6
[29-Mar-2014 15:41:15 UTC] PHP Parse error:  syntax error, unexpected ';' in C:\Apache24\htdocs\proj1\index.php on line 6
[29-Mar-2014 15:41:15 UTC] PHP Parse error:  syntax error, unexpected ';' in C:\Apache24\htdocs\proj1\index.php on line 6
[29-Mar-2014 15:41:15 UTC] PHP Parse error:  syntax error, unexpected ';' in C:\Apache24\htdocs\proj1\index.php on line 6
[29-Mar-2014 15:41:16 UTC] PHP Parse error:  syntax error, unexpected ';' in C:\Apache24\htdocs\proj1\index.php on line 6
[29-Mar-2014 15:41:16 UTC] PHP Parse error:  syntax error, unexpected ';' in C:\Apache24\htdocs\proj1\index.php on line 6
[29-Mar-2014 15:41:16 UTC] PHP Parse error:  syntax error, unexpected ';' in C:\Apache24\htdocs\proj1\index.php on line 6
[29-Mar-2014 15:41:53 UTC] PHP Parse error:  syntax error, unexpected ';' in C:\Apache24\htdocs\proj1\index.php on line 7
[29-Mar-2014 15:41:54 UTC] PHP Parse error:  syntax error, unexpected ';' in C:\Apache24\htdocs\proj1\index.php on line 7
[29-Mar-2014 15:41:54 UTC] PHP Parse error:  syntax error, unexpected ';' in C:\Apache24\htdocs\proj1\index.php on line 7
[29-Mar-2014 15:42:05 UTC] PHP Parse error:  syntax error, unexpected '<' in C:\Apache24\htdocs\proj1\index.php on line 12
[29-Mar-2014 15:42:05 UTC] PHP Parse error:  syntax error, unexpected '<' in C:\Apache24\htdocs\proj1\index.php on line 12
[29-Mar-2014 15:42:23 UTC] PHP Parse error:  syntax error, unexpected '<' in C:\Apache24\htdocs\proj1\index.php on line 13
[29-Mar-2014 15:42:23 UTC] PHP Parse error:  syntax error, unexpected '<' in C:\Apache24\htdocs\proj1\index.php on line 13
[29-Mar-2014 15:42:23 UTC] PHP Parse error:  syntax error, unexpected '<' in C:\Apache24\htdocs\proj1\index.php on line 13
[29-Mar-2014 15:42:23 UTC] PHP Parse error:  syntax error, unexpected '<' in C:\Apache24\htdocs\proj1\index.php on line 13
[29-Mar-2014 15:43:26 UTC] PHP Parse error:  syntax error, unexpected '<' in C:\Apache24\htdocs\proj1\index.php on line 13
[29-Mar-2014 15:44:27 UTC] PHP Parse error:  syntax error, unexpected '<' in C:\Apache24\htdocs\proj1\index.php on line 13
[29-Mar-2014 15:44:28 UTC] PHP Parse error:  syntax error, unexpected '<' in C:\Apache24\htdocs\proj1\index.php on line 13
[29-Mar-2014 15:44:28 UTC] PHP Parse error:  syntax error, unexpected '<' in C:\Apache24\htdocs\proj1\index.php on line 13
[29-Mar-2014 15:44:32 UTC] PHP Parse error:  syntax error, unexpected '<' in C:\Apache24\htdocs\proj1\index.php on line 13
[29-Mar-2014 15:44:32 UTC] PHP Parse error:  syntax error, unexpected '<' in C:\Apache24\htdocs\proj1\index.php on line 13
[29-Mar-2014 15:44:32 UTC] PHP Parse error:  syntax error, unexpected '<' in C:\Apache24\htdocs\proj1\index.php on line 13
[29-Mar-2014 15:44:32 UTC] PHP Parse error:  syntax error, unexpected '<' in C:\Apache24\htdocs\proj1\index.php on line 13
[29-Mar-2014 15:44:33 UTC] PHP Parse error:  syntax error, unexpected '<' in C:\Apache24\htdocs\proj1\index.php on line 13
[29-Mar-2014 15:51:24 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\login.php on line 23
[29-Mar-2014 15:58:51 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\login.php on line 23
[29-Mar-2014 15:59:55 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\login.php on line 23
[29-Mar-2014 16:00:01 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\login.php on line 23
[29-Mar-2014 16:00:36 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\login.php on line 23
[29-Mar-2014 16:05:17 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\login.php on line 23
[29-Mar-2014 16:05:23 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\login.php on line 23
[29-Mar-2014 16:08:38 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\sign.php on line 23
[29-Mar-2014 16:08:53 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\sign.php on line 23
[29-Mar-2014 16:08:54 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\sign.php on line 23
[29-Mar-2014 16:09:01 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\sign.php on line 23
[29-Mar-2014 16:10:01 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\sign.php on line 23
[29-Mar-2014 16:10:08 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\login.php on line 23
[29-Mar-2014 16:10:13 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\login.php on line 23
[29-Mar-2014 16:10:50 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\login.php on line 23
